row_num,order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,price,datetime,country,city,eommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
4829,12114,5,Berglunds snabbkÃƒÆ’Ã‚Â¶p,17,Alice Mutton,Meat/Poultry,Card,31.2,8/23/2021 21:48,Sweden,Luleå,amazon.com,INTGFD23DB3D6525,Y,
6984,12950,5,Berglunds snabbkÃƒÆ’Ã‚Â¶p,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,12/8/2021 11:05,Sweden,Luleå,yummybazaar.com,INTGFD23DB3D435,Y,
9139,13786,5,Berglunds snabbkÃƒÆ’Ã‚Â¶p,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,9/22/2021 5:54,Sweden,Luleå,amazon.com,INTGFD23DB3D3361,Y,
380,10265,7,Blondel pÃƒÆ’Ã‚Â¨re et fils,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,3/2/2022 12:18,France,Strasbourg,yummybazaar.com,INTGFD23DB3C161,N,Transaction Cancelled
2205,11097,7,Blondel pÃƒÆ’Ã‚Â¨re et fils,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,6/23/2022 19:26,France,Strasbourg,amazon.com,INTGFD23DB3C429,Y,
4360,11932,7,Blondel pÃƒÆ’Ã‚Â¨re et fils,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,4/24/2022 14:26,France,Strasbourg,yummybazaar.com,INTGFD23DB3C846,Y,
6515,12768,7,Blondel pÃƒÆ’Ã‚Â¨re et fils,17,Alice Mutton,Meat/Poultry,Wire Transfer,31.2,12/11/2021 20:50,France,Strasbourg,internationalfoodshop.com,INTGFD23DB3C1264,Y,
8670,13604,7,Blondel pÃƒÆ’Ã‚Â¨re et fils,17,Alice Mutton,Meat/Poultry,Wire Transfer,31.2,8/17/2021 9:50,France,Strasbourg,internationalfoodshop.com,INTGFD23DB3C394,Y,
408,10871,9,Bon app',17,Alice Mutton,Meat/Poultry,UPI,39,1/3/2022 8:25,France,Marseille,amazon.com,INTGFD23DB3D414,Y,
3793,11712,9,Bon app',17,Alice Mutton,Meat/Poultry,Internet Banking,39,1/24/2022 21:53,France,Marseille,yummybazaar.com,INTGFD23DB3C736,Y,
5948,12548,9,Bon app',17,Alice Mutton,Meat/Poultry,Internet Banking,39,9/1/2021 10:07,France,Marseille,globalfood.com,INTGFD23DB3C1154,Y,
8103,13384,9,Bon app',17,Alice Mutton,Meat/Poultry,Internet Banking,39,7/22/2021 7:04,France,Marseille,globalfood.com,INTGFD23DB3C284,Y,
390,10431,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,UPI,31.2,4/27/2022 9:50,Canada,Tsawassen,amazon.com,INTGFD23DB3C165,Y,
413,10949,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,5/7/2022 11:24,Canada,Tsawassen,internationalfood.com,INTGFD23DB3C65,Y,
2641,11266,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,Card,31.2,6/14/2022 19:01,Canada,Tsawassen,internationalfoodshop.com,INTGFD23DB3D3557,Y,
3975,11783,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,3/23/2022 13:57,Canada,Tsawassen,internationalfood.com,INTGFD23DB3D5370,N,Bank Declined
4796,12101,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,Card,31.2,11/2/2021 7:26,Canada,Tsawassen,internationalfoodshop.com,INTGFD23DB3C931,Y,
6130,12619,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,11/10/2021 17:55,Canada,Tsawassen,yummybazaar.com,INTGFD23DB3D8296,Y,
6951,12937,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,12/10/2021 8:33,Canada,Tsawassen,amazon.com,INTGFD23DB3C61,N,Bank Declined
8285,13455,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,Card,39,11/11/2021 13:04,Canada,Tsawassen,internationalfoodshop.com,INTGFD23DB3D2206,Y,
9106,13773,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,8/26/2021 21:58,Canada,Tsawassen,amazon.com,INTGFD23DB3C479,Y,
409,10890,18,Du monde entier,17,Alice Mutton,Meat/Poultry,Internet Banking,39,1/28/2022 17:17,France,Nantes,yummybazaar.com,INTGFD23DB3D1163,Y,
3835,11729,18,Du monde entier,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,3/7/2022 14:43,France,Nantes,yummybazaar.com,INTGFD23DB3C745,Y,
5990,12565,18,Du monde entier,17,Alice Mutton,Meat/Poultry,Card,39,7/4/2021 2:39,France,Nantes,yummybazaar.com,INTGFD23DB3C1163,Y,
8145,13400,18,Du monde entier,17,Alice Mutton,Meat/Poultry,Internet Banking,39,8/4/2021 1:11,France,Nantes,internationalfoodshop.com,INTGFD23DB3C292,Y,
389,10430,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Card,31.2,3/25/2022 10:52,Austria,Graz,amazon.com,INTGFD23DB3C164,Y,
400,10698,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Internet Banking,39,2/10/2022 1:19,Austria,Graz,globalfood.com,INTGFD23DB3C109,Y,
403,10773,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Card,39,2/20/2022 14:02,Austria,Graz,internationalfoodshop.com,INTGFD23DB3D1156,Y,
404,10795,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Internet Banking,39,1/1/2022 8:43,Austria,Graz,internationalfoodshop.com,INTGFD23DB3D1051,Y,
2637,11264,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Card,31.2,5/9/2022 9:15,Austria,Graz,yummybazaar.com,INTGFD23DB3C512,N,Out of Stock
3340,11537,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Card,39,4/7/2022 21:10,Austria,Graz,internationalfoodshop.com,INTGFD23DB3C649,Y,
3537,11613,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,UPI,39,1/10/2022 22:39,Austria,Graz,internationalfoodshop.com,INTGFD23DB3C687,Y,
3588,11633,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Internet Banking,39,6/12/2022 17:05,Austria,Graz,internationalfoodshop.com,INTGFD23DB3C697,N,Bank Declined
4792,12100,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,12/19/2021 19:52,Austria,Graz,internationalfoodshop.com,INTGFD23DB3C930,N,Transaction Cancelled
5495,12373,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,UPI,39,12/7/2021 9:01,Austria,Graz,amazon.com,INTGFD23DB3C1067,Y,
5692,12449,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,7/12/2021 8:29,Austria,Graz,globalfood.com,INTGFD23DB3C1105,Y,
5743,12469,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,8/15/2021 12:32,Austria,Graz,internationalfoodshop.com,INTGFD23DB3C1115,Y,
6947,12936,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Wire Transfer,31.2,12/10/2021 12:20,Austria,Graz,globalfood.com,INTGFD23DB3C60,Y,
7650,13208,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Internet Banking,39,12/7/2021 8:36,Austria,Graz,yummybazaar.com,INTGFD23DB3C196,Y,
7847,13285,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Internet Banking,39,12/21/2021 17:57,Austria,Graz,internationalfoodshop.com,INTGFD23DB3C235,Y,
7898,13305,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Internet Banking,39,8/18/2021 6:20,Austria,Graz,globalfood.com,INTGFD23DB3C245,Y,
9102,13772,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,10/19/2021 17:45,Austria,Graz,globalfood.com,INTGFD23DB3C478,Y,
9805,14044,20,Ernst Handel,17,Alice Mutton,Meat/Poultry,Internet Banking,39,3/11/2022 6:55,Austria,Graz,internationalfood.com,INTGFD23DB3C614,Y,
394,10550,29,Godos Cocina TÃƒÆ’Ã‚Â­pica,17,Alice Mutton,Meat/Poultry,Card,39,3/16/2022 3:07,Spain,Sevilla,yummybazaar.com,INTGFD23DB3C167,Y,
410,10911,29,Godos Cocina TÃƒÆ’Ã‚Â­pica,17,Alice Mutton,Meat/Poultry,Internet Banking,39,2/13/2022 14:36,Spain,Sevilla,amazon.com,INTGFD23DB3D92,Y,
2961,11390,29,Godos Cocina TÃƒÆ’Ã‚Â­pica,17,Alice Mutton,Meat/Poultry,Internet Banking,39,4/13/2022 20:50,Spain,Sevilla,yummybazaar.com,INTGFD23DB3D3991,Y,
3880,11746,29,Godos Cocina TÃƒÆ’Ã‚Â­pica,17,Alice Mutton,Meat/Poultry,Internet Banking,39,3/2/2022 20:49,Spain,Sevilla,amazon.com,INTGFD23DB3D5237,Y,
5116,12226,29,Godos Cocina TÃƒÆ’Ã‚Â­pica,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,8/5/2021 10:10,Spain,Sevilla,amazon.com,INTGFD23DB3D6917,N,Out of Stock
6035,12582,29,Godos Cocina TÃƒÆ’Ã‚Â­pica,17,Alice Mutton,Meat/Poultry,UPI,39,8/22/2021 14:46,Spain,Sevilla,yummybazaar.com,INTGFD23DB3D8163,Y,
7271,13061,29,Godos Cocina TÃƒÆ’Ã‚Â­pica,17,Alice Mutton,Meat/Poultry,Internet Banking,39,12/16/2021 17:14,Spain,Sevilla,amazon.com,INTGFD23DB3C123,N,Transaction Cancelled
8190,13418,29,Godos Cocina TÃƒÆ’Ã‚Â­pica,17,Alice Mutton,Meat/Poultry,Card,39,9/23/2021 0:50,Spain,Sevilla,internationalfoodshop.com,INTGFD23DB3D2073,Y,
9426,13897,29,Godos Cocina TÃƒÆ’Ã‚Â­pica,17,Alice Mutton,Meat/Poultry,Internet Banking,39,12/24/2021 15:08,Spain,Sevilla,internationalfoodshop.com,INTGFD23DB3C541,Y,
412,10922,33,Hanari Carnes,17,Alice Mutton,Meat/Poultry,Internet Banking,39,7/18/2022 6:33,Brazil,Rio de Janeiro,internationalfoodshop.com,INTGFD23DB3C172,Y,
3904,11755,33,Hanari Carnes,17,Alice Mutton,Meat/Poultry,Internet Banking,39,2/1/2022 12:21,Brazil,Rio de Janeiro,amazon.com,INTGFD23DB3D5272,Y,
6059,12591,33,Hanari Carnes,17,Alice Mutton,Meat/Poultry,Internet Banking,39,10/18/2021 3:12,Brazil,Rio de Janeiro,amazon.com,INTGFD23DB3D8198,Y,
8214,13427,33,Hanari Carnes,17,Alice Mutton,Meat/Poultry,Card,39,12/8/2021 19:30,Brazil,Rio de Janeiro,yummybazaar.com,INTGFD23DB3D2108,Y,
388,10415,35,Hungry Coyote Import Store,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,4/5/2022 7:01,USA,Elgin,amazon.com,INTGFD23DB3D1114,Y,
2600,11250,35,Hungry Coyote Import Store,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,7/28/2022 22:51,USA,Elgin,internationalfood.com,INTGFD23DB3D3501,Y,
4755,12086,35,Hungry Coyote Import Store,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,7/28/2021 4:46,USA,Elgin,yummybazaar.com,INTGFD23DB3D6427,Y,
6910,12921,35,Hungry Coyote Import Store,17,Alice Mutton,Meat/Poultry,Wire Transfer,31.2,9/21/2021 22:24,USA,Elgin,internationalfood.com,INTGFD23DB3C53,Y,
9065,13757,35,Hungry Coyote Import Store,17,Alice Mutton,Meat/Poultry,UPI,31.2,12/24/2021 17:13,USA,Elgin,amazon.com,INTGFD23DB3C471,Y,
414,10972,39,La corne d'abondance,17,Alice Mutton,Meat/Poultry,Internet Banking,39,6/27/2022 22:03,France,Versailles,internationalfood.com,INTGFD23DB3C173,N,Transaction Cancelled
4025,11802,39,La corne d'abondance,17,Alice Mutton,Meat/Poultry,Internet Banking,39,2/25/2022 12:58,France,Versailles,internationalfoodshop.com,INTGFD23DB3D5433,Y,
6180,12638,39,La corne d'abondance,17,Alice Mutton,Meat/Poultry,Internet Banking,39,10/8/2021 14:51,France,Versailles,amazon.com,INTGFD23DB3D8359,Y,
8335,13474,39,La corne d'abondance,17,Alice Mutton,Meat/Poultry,Internet Banking,39,10/2/2021 21:18,France,Versailles,internationalfood.com,INTGFD23DB3D2269,Y,
381,10279,43,Lehmanns Marktstand,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,4/16/2022 19:15,Germany,Frankfurt a.M.,yummybazaar.com,INTGFD23DB3D1093,N,Bank Declined
2238,11109,43,Lehmanns Marktstand,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,3/10/2022 17:28,Germany,Frankfurt a.M.,internationalfoodshop.com,INTGFD23DB3C435,Y,
4393,11945,43,Lehmanns Marktstand,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,5/8/2022 2:04,Germany,Frankfurt a.M.,internationalfoodshop.com,INTGFD23DB3C853,N,Bank Declined
6548,12781,43,Lehmanns Marktstand,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,9/23/2021 15:20,Germany,Frankfurt a.M.,internationalfoodshop.com,INTGFD23DB3C1271,N,Transaction Cancelled
8703,13617,43,Lehmanns Marktstand,17,Alice Mutton,Meat/Poultry,Card,31.2,11/9/2021 21:32,Germany,Frankfurt a.M.,internationalfood.com,INTGFD23DB3C401,Y,
386,10339,50,MÃƒÆ’Ã‚Â¨re Paillarde,17,Alice Mutton,Meat/Poultry,Card,31.2,5/12/2022 21:05,Canada,Montreal,amazon.com,INTGFD23DB3C51,Y,
2400,11172,50,MÃƒÆ’Ã‚Â¨re Paillarde,17,Alice Mutton,Meat/Poultry,Card,31.2,2/6/2022 20:55,Canada,Montreal,internationalfoodshop.com,INTGFD23DB3C466,Y,
4555,12008,50,MÃƒÆ’Ã‚Â¨re Paillarde,17,Alice Mutton,Meat/Poultry,Wire Transfer,31.2,10/20/2021 9:22,Canada,Montreal,amazon.com,INTGFD23DB3C884,Y,
6710,12844,50,MÃƒÆ’Ã‚Â¨re Paillarde,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,9/21/2021 2:21,Canada,Montreal,amazon.com,INTGFD23DB3C14,N,Bank Declined
8865,13680,50,MÃƒÆ’Ã‚Â¨re Paillarde,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,10/5/2021 3:34,Canada,Montreal,internationalfood.com,INTGFD23DB3C432,Y,
385,10338,54,Old World Delicatessen,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,5/13/2022 3:57,USA,Anchorage,internationalfood.com,INTGFD23DB3C163,Y,
2397,11171,54,Old World Delicatessen,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,4/22/2022 22:31,USA,Anchorage,internationalfoodshop.com,INTGFD23DB3D3228,Y,
4552,12007,54,Old World Delicatessen,17,Alice Mutton,Meat/Poultry,Card,31.2,11/8/2021 13:13,USA,Anchorage,yummybazaar.com,INTGFD23DB3D6154,Y,
6707,12843,54,Old World Delicatessen,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,7/22/2021 9:21,USA,Anchorage,internationalfoodshop.com,INTGFD23DB3D64,Y,
8862,13679,54,Old World Delicatessen,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,12/7/2021 5:37,USA,Anchorage,globalfood.com,INTGFD23DB3D2990,Y,
393,10530,57,Piccolo und mehr,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,4/5/2022 19:47,Austria,Salzburg,globalfood.com,INTGFD23DB3C166,Y,
398,10686,57,Piccolo und mehr,17,Alice Mutton,Meat/Poultry,Internet Banking,39,4/13/2022 7:28,Austria,Salzburg,internationalfoodshop.com,INTGFD23DB3C168,Y,
2904,11368,57,Piccolo und mehr,17,Alice Mutton,Meat/Poultry,Card,39,2/26/2022 18:02,Austria,Salzburg,yummybazaar.com,INTGFD23DB3C564,N,Bank Declined
3306,11524,57,Piccolo und mehr,17,Alice Mutton,Meat/Poultry,Internet Banking,39,1/14/2022 12:53,Austria,Salzburg,internationalfoodshop.com,INTGFD23DB3C642,Y,
5059,12203,57,Piccolo und mehr,17,Alice Mutton,Meat/Poultry,Internet Banking,39,8/4/2021 17:54,Austria,Salzburg,internationalfoodshop.com,INTGFD23DB3D6840,Y,
5461,12359,57,Piccolo und mehr,17,Alice Mutton,Meat/Poultry,Internet Banking,39,11/16/2021 3:13,Austria,Salzburg,internationalfood.com,INTGFD23DB3D7386,N,Out of Stock
7214,13039,57,Piccolo und mehr,17,Alice Mutton,Meat/Poultry,Internet Banking,39,11/4/2021 15:06,Austria,Salzburg,internationalfood.com,INTGFD23DB3D750,N,Transaction Cancelled
7616,13195,57,Piccolo und mehr,17,Alice Mutton,Meat/Poultry,Internet Banking,39,11/2/2021 3:52,Austria,Salzburg,globalfood.com,INTGFD23DB3D1296,Y,
9369,13875,57,Piccolo und mehr,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,11/12/2021 3:40,Austria,Salzburg,internationalfoodshop.com,INTGFD23DB3D3676,Y,
9771,14031,57,Piccolo und mehr,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,3/17/2022 20:36,Austria,Salzburg,internationalfoodshop.com,INTGFD23DB3D4222,Y,
382,10294,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,4/22/2022 4:17,USA,Albuquerque,amazon.com,INTGFD23DB3C5,Y,
387,10346,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,6/5/2022 13:31,USA,Albuquerque,internationalfoodshop.com,INTGFD23DB3D1107,Y,
395,10564,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Card,39,6/23/2022 4:19,USA,Albuquerque,internationalfood.com,INTGFD23DB3D1135,Y,
406,10852,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,7/1/2022 3:43,USA,Albuquerque,yummybazaar.com,INTGFD23DB3D225,Y,
2280,11126,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,3/8/2022 20:23,USA,Albuquerque,amazon.com,INTGFD23DB3D3067,N,Transaction Cancelled
2419,11180,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,7/8/2022 12:12,USA,Albuquerque,internationalfoodshop.com,INTGFD23DB3C470,Y,
3002,11406,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,3/15/2022 18:00,USA,Albuquerque,globalfood.com,INTGFD23DB3D4047,Y,
3743,11693,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,39,1/12/2022 6:54,USA,Albuquerque,amazon.com,INTGFD23DB3C727,Y,
4435,11961,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,7/8/2022 19:01,USA,Albuquerque,internationalfoodshop.com,INTGFD23DB3C861,Y,
4574,12015,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,7/19/2021 11:32,USA,Albuquerque,yummybazaar.com,INTGFD23DB3D6182,Y,
5157,12241,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,39,8/18/2021 9:16,USA,Albuquerque,yummybazaar.com,INTGFD23DB3C1001,Y,
5898,12529,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,39,9/18/2021 1:11,USA,Albuquerque,globalfood.com,INTGFD23DB3C1145,Y,
6590,12797,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Card,31.2,8/19/2021 0:30,USA,Albuquerque,globalfood.com,INTGFD23DB3C1279,Y,
6729,12851,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,9/27/2021 16:32,USA,Albuquerque,globalfood.com,INTGFD23DB3D92,Y,
7312,13077,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,39,11/24/2021 19:26,USA,Albuquerque,internationalfoodshop.com,INTGFD23DB3C131,N,Bank Declined
8053,13365,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,39,12/5/2021 7:43,USA,Albuquerque,amazon.com,INTGFD23DB3C275,Y,
8884,13687,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,10/14/2021 10:43,USA,Albuquerque,internationalfoodshop.com,INTGFD23DB3D3018,Y,
9467,13913,63,Rattlesnake Canyon Grocery,17,Alice Mutton,Meat/Poultry,Internet Banking,39,7/2/2021 4:37,USA,Albuquerque,internationalfoodshop.com,INTGFD23DB3C549,Y,
402,10727,64,Reggiani Caseifici,17,Alice Mutton,Meat/Poultry,Card,39,3/20/2022 4:15,Italy,Reggio Emilia,internationalfoodshop.com,INTGFD23DB3D1149,Y,
3419,11567,64,Reggiani Caseifici,17,Alice Mutton,Meat/Poultry,Internet Banking,39,1/13/2022 6:16,Italy,Reggio Emilia,yummybazaar.com,INTGFD23DB3D4614,N,Transaction Cancelled
5574,12403,64,Reggiani Caseifici,17,Alice Mutton,Meat/Poultry,Internet Banking,39,8/1/2021 18:02,Italy,Reggio Emilia,internationalfoodshop.com,INTGFD23DB3D7540,Y,
7729,13239,64,Reggiani Caseifici,17,Alice Mutton,Meat/Poultry,Internet Banking,39,12/10/2021 11:21,Italy,Reggio Emilia,globalfood.com,INTGFD23DB3D1450,N,Bank Declined
9884,14075,64,Reggiani Caseifici,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,2/1/2022 19:17,Italy,Reggio Emilia,internationalfood.com,INTGFD23DB3D4376,Y,
415,11059,65,Ricardo Adocicados,17,Alice Mutton,Meat/Poultry,Internet Banking,39,5/1/2022 6:25,Brazil,Rio de Janeiro,amazon.com,INTGFD23DB3D897,Y,
4242,11887,65,Ricardo Adocicados,17,Alice Mutton,Meat/Poultry,Internet Banking,39,4/22/2022 18:21,Brazil,Rio de Janeiro,amazon.com,INTGFD23DB3D5734,Y,
6397,12722,65,Ricardo Adocicados,17,Alice Mutton,Meat/Poultry,Internet Banking,39,10/22/2021 19:02,Brazil,Rio de Janeiro,amazon.com,INTGFD23DB3D8653,N,Transaction Cancelled
8552,13558,65,Ricardo Adocicados,17,Alice Mutton,Meat/Poultry,Card,39,8/19/2021 4:11,Brazil,Rio de Janeiro,internationalfoodshop.com,INTGFD23DB3D2563,Y,
397,10607,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,3/16/2022 0:44,USA,Boise,internationalfoodshop.com,INTGFD23DB3C69,Y,
401,10714,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Card,39,6/28/2022 2:01,USA,Boise,amazon.com,INTGFD23DB3C32,Y,
416,11064,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,3/27/2022 16:28,USA,Boise,internationalfood.com,INTGFD23DB3D1177,Y,
3104,11445,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,7/9/2022 22:12,USA,Boise,amazon.com,INTGFD23DB3C603,N,Out of Stock
3385,11554,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,2/13/2022 0:05,USA,Boise,amazon.com,INTGFD23DB3D4565,Y,
4252,11890,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,6/6/2022 22:56,USA,Boise,amazon.com,INTGFD23DB3D5741,Y,
5259,12281,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,7/8/2021 7:28,USA,Boise,yummybazaar.com,INTGFD23DB3C1021,Y,
5540,12390,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Card,39,11/12/2021 6:38,USA,Boise,internationalfoodshop.com,INTGFD23DB3D7491,Y,
6407,12726,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,8/5/2021 19:00,USA,Boise,amazon.com,INTGFD23DB3D8667,Y,
7414,13117,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,7/4/2021 13:56,USA,Boise,yummybazaar.com,INTGFD23DB3C151,Y,
7695,13226,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,11/28/2021 7:52,USA,Boise,amazon.com,INTGFD23DB3D1401,N,Bank Declined
8562,13562,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,9/1/2021 6:56,USA,Boise,yummybazaar.com,INTGFD23DB3D2577,Y,
9569,13953,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Card,39,11/17/2021 8:01,USA,Boise,internationalfoodshop.com,INTGFD23DB3C569,Y,
9850,14062,69,Save-a-lot Markets,17,Alice Mutton,Meat/Poultry,Internet Banking,39,6/26/2022 1:48,USA,Boise,amazon.com,INTGFD23DB3D4327,Y,
